index,city,Lat,Lon,max_temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,Fuerte Olimpo,-21.0415,-57.8738,76.73,32.0,98.0,5.12,PY,1627842374.0
436,Baião,-2.7906,-49.6717,94.17,33.0,56.0,4.03,BR,1627842420.0
371,Pahrump,36.2083,-115.9839,92.52,34.0,22.0,3.0,US,1627842412.0
398,Coari,-4.085,-63.1414,90.5,34.0,88.0,3.85,BR,1627842415.0
489,Yashkul',46.1711,45.3435,88.39,34.0,1.0,13.0,RU,1627842426.0
111,Paraisópolis,-22.5542,-45.78,73.04,35.0,30.0,2.3,BR,1627842377.0
170,Curaçá,-8.9903,-39.9094,83.3,35.0,94.0,23.76,BR,1627842385.0
512,Jiuquan,39.7432,98.5174,75.02,35.0,99.0,16.84,CN,1627842429.0
91,Cholul Cantón,21.0167,-89.2833,95.0,35.0,70.0,4.27,MX,1627842375.0
141,San Lorenzo,-25.3333,-57.5333,72.59,35.0,0.0,7.0,PY,1627842382.0
570,Chiredzi,-21.05,31.6667,64.53,35.0,0.0,3.2,ZW,1627842437.0
309,Yulara,-25.2406,130.9889,58.84,36.0,0.0,9.22,AU,1627842404.0
70,Leh,34.1667,77.5833,68.88,36.0,69.0,5.64,IN,1627842132.0
76,Zacatecas,23.0,-103.0,72.36,36.0,9.0,10.42,MX,1627842372.0
